codigo_proyecto;codigo_recurso;año;trimestre;unidad_medida;tipo_contraprestacion;valor_contraprestacion;cantidad_producida
1;6;2023;2;GRAMOS;REGALIAS;414269;3661
1;6;2023;2;GRAMOS;REGALIAS;21519;2017
1;6;2023;2;GRAMOS;REGALIAS;453126;3911
1;2;2023;1;METROS CUBICOS;REGALIAS;276236;894
1;2;2023;2;METROS CUBICOS;REGALIAS;339063;1054
1;4;2023;2;METROS CUBICOS;REGALIAS;55831;1845
1;5;2023;1;GRAMOS;REGALIAS;739411253;83535
1;5;2023;1;GRAMOS;REGALIAS;850135117;92631
1;5;2023;1;GRAMOS;REGALIAS;421903878;46645
1;5;2023;2;GRAMOS;REGALIAS;613290681;66363
1;5;2023;2;GRAMOS;REGALIAS;942920845;101406
1;5;2023;2;GRAMOS;REGALIAS;748444369;80481
1;6;2023;1;GRAMOS;REGALIAS;15837948;139487
1;6;2023;1;GRAMOS;REGALIAS;30321671;263533
1;6;2023;1;GRAMOS;REGALIAS;5904944;53168
1;6;2023;2;GRAMOS;REGALIAS;11814417;108073
1;6;2023;2;GRAMOS;REGALIAS;12734253;111663
1;6;2023;2;GRAMOS;REGALIAS;11151766;98521
1;5;2023;1;GRAMOS;REGALIAS;901421750;334932
1;5;2023;1;GRAMOS;REGALIAS;1257373572;420177
1;5;2023;1;GRAMOS;REGALIAS;1157187149;475014
1;5;2023;2;GRAMOS;REGALIAS;922617302;448239
1;5;2023;2;GRAMOS;REGALIAS;878469844;464538
1;5;2023;2;GRAMOS;REGALIAS;657246728;472664
1;6;2023;1;GRAMOS;REGALIAS;6166976;507124
1;6;2023;1;GRAMOS;REGALIAS;4305420;327347
1;6;2023;1;GRAMOS;REGALIAS;11486186;996789
1;6;2023;2;GRAMOS;REGALIAS;4808489;425405
1;6;2023;2;GRAMOS;REGALIAS;10354219;872788
1;6;2023;2;GRAMOS;REGALIAS;8736272;764915
1;9;2023;1;TONELADAS;REGALIAS;56140877;553204
1;9;2023;2;TONELADAS;REGALIAS;35921015;313486
1;8;2023;2;TONELADAS;REGALIAS;71422351;3271
1;2;2023;1;METROS CUBICOS;REGALIAS;5166996;12095
1;2;2023;2;METROS CUBICOS;REGALIAS;3852083;6965
1;4;2023;1;METROS CUBICOS;REGALIAS;9419873;35166
1;4;2023;2;METROS CUBICOS;REGALIAS;17284353;53742
1;15;2023;2;METROS CUBICOS;REGALIAS;278829;0
1;5;2023;1;GRAMOS;REGALIAS;249326927;20785
1;5;2023;1;GRAMOS;REGALIAS;296110920;23108
1;5;2023;1;GRAMOS;REGALIAS;127386447;9562
1;5;2023;2;GRAMOS;REGALIAS;269863622;20863
1;5;2023;2;GRAMOS;REGALIAS;137510923;984
1;5;2023;2;GRAMOS;REGALIAS;71460233;605
1;6;2023;1;GRAMOS;REGALIAS;253229;2246
1;6;2023;1;GRAMOS;REGALIAS;228593;1987
1;6;2023;1;GRAMOS;REGALIAS;10999;983
